-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.vending:id/title] # hashCode: 203883564
UiSelector[RESOURCE_ID=com.android.vending:id/title] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/title] # description: null
UiSelector[RESOURCE_ID=com.android.vending:id/title] # id: com.android.vending:id/title
UiSelector[RESOURCE_ID=com.android.vending:id/title] # text: Games
UiSelector[RESOURCE_ID=com.android.vending:id/title] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@f3e9
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # hashCode: 70730890
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # id: com.android.systemui:id/scrim_behind
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@f3e9
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # hashCode: 265221489
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # id: com.android.systemui:id/scrim_in_front
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # parent: androidx.test.uiautomator.UiObject2@b8a41
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout/android.view.ViewGroup/android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # hashCode: 99245813
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # description: Star rating: 4.7
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # id: com.android.vending:id/li_rating
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # text: null
UiSelector[RESOURCE_ID=com.android.vending:id/li_rating] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # parent: androidx.test.uiautomator.UiObject2@b7efe
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout/android.view.ViewGroup/android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # hashCode: 18233112
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # description: €1.99
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # id: com.android.vending:id/li_label
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # text: null
UiSelector[RESOURCE_ID=com.android.vending:id/li_label] # class: android.view.View
-- ACTION_2 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@115b2
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 211338030
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 3:18 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 3:18
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # parent: androidx.test.uiautomator.UiObject2@df5a6
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # hashCode: 50974812
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # clickable: false
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # description: null
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # id: com.android.vending:id/header_shadow
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # text: null
UiSelector[RESOURCE_ID=com.android.vending:id/header_shadow] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # parent: androidx.test.uiautomator.UiObject2@960e
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # hashCode: 236182242
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # id: com.android.systemui:id/deadzone
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/deadzone] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # parent: androidx.test.uiautomator.UiObject2@13ef8
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # hashCode: 147041476
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # description: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # id: com.google.android.inputmethod.latin:id/label
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # text: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # parent: androidx.test.uiautomator.UiObject2@fb66
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # hashCode: 227309485
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # description: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # id: com.google.android.inputmethod.latin:id/label_header
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # text: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_header] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # parent: androidx.test.uiautomator.UiObject2@d21b
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # hashCode: 133250675
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # description: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # id: com.google.android.inputmethod.latin:id/label_bottom
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # text: null
UiSelector[RESOURCE_ID=com.google.android.inputmethod.latin:id/label_bottom] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # parent: androidx.test.uiautomator.UiObject2@e3577
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.EditText
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # checkable: false
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # hashCode: 202854095
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # clickable: true
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # description: null
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # id: com.android.vending:id/search_bar_text_input
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # text: Search for apps & games
UiSelector[RESOURCE_ID=com.android.vending:id/search_bar_text_input] # class: android.widget.EditText
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@f3e9
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # hashCode: 45142320
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # id: com.android.systemui:id/scrim_behind
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@f3e9
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # numberOfChildren: 0
