-- ACTION_1 --
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # parent: androidx.test.uiautomator.UiObject2@8c90c
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.ViewGroup/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # hashCode: 98183136
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # description: Conversation with Alejandro Garcia Fernandez, Now
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # id: com.google.android.apps.messaging:id/tombstone_message
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # text: Conversation with Alejandro Garcia Fernandez
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_message] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@dde7
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # hashCode: 110882923
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # id: com.android.systemui:id/scrim_in_front
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@dde7
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # numberOfChildren: 0
